,DEPTH,DT,GR,ILD,NPHI,RHOB
365,3043.0,121.625,88.125,4.3516,22.1641,2.3409
366,3043.2,122.4136,79.125,3.8945,26.0469,2.3606
367,3043.4,121.1133,68.625,3.6731,28.3398,2.4102
368,3043.6,116.5625,60.1719,3.675,27.0078,2.4543
369,3043.8,107.375,60.5,3.7169,23.6797,2.4638
370,3044.0,94.8125,67.375,3.7183,20.2969,2.4453
371,3044.2,86.418,72.0273,3.7922,19.3594,2.415
372,3044.4,84.9397,69.4375,4.0586,19.7551,2.4091
373,3044.6,85.7305,60.875,4.3403,19.4727,2.4253
374,3044.8,87.9727,52.2109,4.3867,20.7188,2.4354
375,3045.0,89.5273,51.6211,4.0664,24.3008,2.4327
376,3045.2,89.0273,55.5,3.5742,25.0469,2.4102
377,3045.4,87.0703,59.1172,3.0625,23.4062,2.3896
378,3045.6,85.3047,57.0,2.7087,22.7188,2.4075
379,3045.8,85.0391,50.0625,2.5508,23.293,2.4436
380,3046.0,85.1719,44.8359,2.5452,22.3086,2.4746
381,3046.2,83.5703,46.125,2.6133,20.1445,2.4973
382,3046.4,81.2695,53.125,2.6782,20.4766,2.504
383,3046.6,79.9531,63.9375,2.7678,22.5078,2.4854
384,3046.8,79.8359,72.5625,3.0,22.8398,2.4524
385,3047.0,80.2617,77.3125,3.4609,21.9453,2.4106
386,3047.2,81.5117,82.625,4.0781,22.1641,2.3518
387,3047.4,84.207,89.1875,4.6406,23.1914,2.2952
388,3047.6,87.3125,93.6367,4.9595,23.6743,2.2859
389,3047.8,90.1484,95.2812,5.085,24.2773,2.3115
390,3048.0,92.0938,95.5547,5.0969,26.1641,2.331
391,3048.2,92.5283,95.1328,5.021,27.1367,2.3238
392,3048.4,93.4609,95.1016,4.8323,25.3477,2.322
393,3048.6,95.7539,95.543,4.5508,23.0312,2.3403
394,3048.8,95.7969,95.6289,4.323,22.0625,2.3723
395,3049.0,95.6914,95.1016,4.189,21.2383,2.4045
396,3049.2,97.0195,93.957,4.1108,20.4961,2.4255
397,3049.4,96.3555,91.3477,4.0686,20.1484,2.4227
398,3049.6,90.9375,86.5625,4.0618,19.0898,2.4148
399,3049.8,82.9375,80.4375,4.0746,17.25,2.4255
400,3050.0,84.4375,71.5625,4.0869,15.7461,2.4507
401,3050.2,88.4883,60.875,4.0522,15.458,2.4758
402,3050.4,79.625,55.0742,3.9385,15.5244,2.4963
403,3050.6,71.1484,57.625,3.7791,16.4531,2.5002
404,3050.8,75.625,62.8438,3.613,18.2969,2.485
405,3051.0,83.4375,64.5234,3.4465,18.3047,2.4859
406,3051.2,89.4375,64.1531,3.3062,16.3672,2.5144
407,3051.4,93.0415,64.1172,3.2568,15.3999,2.5471
408,3051.6,90.25,62.9922,3.312,15.7383,2.5432
409,3051.8,82.125,58.8125,3.4441,16.4102,2.4836
410,3052.0,73.875,50.3125,3.5562,17.1289,2.4067
411,3052.2,69.9805,41.5625,3.5283,19.3984,2.3491
412,3052.4,72.0391,36.8438,3.3867,24.0,2.2991
413,3052.6,79.125,36.1836,3.2302,27.9336,2.2658
414,3052.8,86.375,36.7227,3.0459,29.6602,2.2643
415,3053.0,90.8789,37.8711,2.7891,29.9058,2.2791
416,3053.2,92.3242,40.5352,2.4727,28.6211,2.3032
417,3053.4,94.7305,43.2773,2.1873,27.0469,2.3313
418,3053.6,97.8477,44.375,2.0117,26.8516,2.3421
419,3053.8,95.625,45.4453,1.9751,26.8242,2.3393
420,3054.0,91.707,46.1641,2.0615,25.5234,2.3545
421,3054.2,88.8984,44.25,2.1741,23.7227,2.3899
422,3054.4,85.4297,41.0703,2.2751,22.0938,2.4204
423,3054.6,82.5195,41.4883,2.4609,21.5508,2.4177
424,3054.8,82.1055,46.0625,2.8867,23.9141,2.395
425,3055.0,84.5273,52.625,3.7148,28.4375,2.3555
426,3055.2,86.875,57.3398,4.6797,29.7539,2.29
427,3055.4,86.9844,57.7305,5.2009,27.2305,2.2268
428,3055.6,90.4375,54.3633,5.1123,25.3867,2.1968
429,3055.8,102.3125,49.9258,4.5664,25.8711,2.2112
430,3056.0,108.3555,47.4453,3.957,27.0078,2.2483
431,3056.2,101.1875,47.6797,3.293,28.1406,2.2864
432,3056.4,94.6797,48.8516,2.5859,28.6917,2.3145
433,3056.6,96.0234,47.7461,2.0352,28.6602,2.3245
434,3056.8,97.0938,45.4844,1.6523,29.3711,2.3232
435,3057.0,96.0352,44.8672,1.4509,29.9648,2.3386
436,3057.2,94.1602,46.75,1.3711,28.5547,2.3779
437,3057.4,91.8867,48.5117,1.3506,26.8164,2.3993
438,3057.6,90.4258,48.7585,1.3838,26.1328,2.3872
439,3057.8,91.9883,47.0586,1.4622,26.4531,2.3562
